yards_to_goal,make_prob
1,0.954147930073995
2,0.9483172763240085
3,0.9417551319943469
4,0.9343672245747547
5,0.9260680274149632
6,0.9167965692532349
7,0.90653162431715
8,0.8953024015269287
9,0.8831907748781177
10,0.8703225088560944
11,0.8568478833599958
12,0.8429157287595113
13,0.8286475723272081
14,0.8141189945686794
15,0.7993531036726497
16,0.784327222741324
17,0.7689900241581512
18,0.7532837394834072
19,0.7371652639396931
20,0.7206208243672261
21,0.7036709131333981
22,0.6863648456770436
23,0.6687669829400954
24,0.6509387464191856
25,0.6329214922956659
26,0.61472484153922
27,0.5963233735816864
28,0.577662267242409
29,0.5586702436994461
30,0.5392766171965823
31,0.5194286646430218
32,0.49910585287476544
33,0.47832847643920307
34,0.45715963500019763
35,0.4357008841772319
36,0.37267473095678366
37,0.3532088183061167
38,0.33387089594001423
39,0.31479349906727716
40,0.2960964882741051
41,0.27788254750614666
42,0.26023541681062523
43,0.24322033355343564
